Математика 11 класс
Номер заявки	Балл	Статус
№ 1109522	85	Призер
№ 1109561	85	Призер
№ 1109579	90	Призер
№ 1109669	85	Призер
№ 1109695	90	Призер
№ 1109828	80	Призер
№ 1109926	80	Призер
№ 1109998	90	Призер
№ 1110011	80	Призер
№ 1110015	90	Призер
№ 1110040	80	Призер
№ 1110089	85	Призер
№ 1110122	85	Призер
№ 1110135	85	Призер
№ 1110191	90	Призер
№ 1110213	85	Призер
№ 1110262	90	Призер
№ 1110444	80	Призер
№ 1110529	85	Призер
№ 1110607	90	Призер
№ 1110616	90	Призер
№ 1110656	90	Призер
№ 1110691	80	Призер
№ 1110692	85	Призер
№ 1110712	85	Призер
№ 1110729	90	Призер
№ 1110735	90	Призер
№ 1110759	85	Призер
№ 1110785	85	Призер
№ 1110807	85	Призер
№ 1110896	85	Призер
№ 1110914	85	Призер
№ 1110915	90	Призер
№ 1110916	90	Призер
№ 1110917	85	Призер
№ 1110952	80	Призер
№ 1111000	80	Призер
№ 1111007	90	Призер
№ 1111089	85	Призер
№ 1111187	85	Призер
№ 1111235	85	Призер
№ 1111245	85	Призер
№ 1111290	80	Призер
№ 1111295	90	Призер
№ 1111299	90	Призер
№ 1111309	80	Призер
№ 1111331	80	Призер
№ 1111394	85	Призер
№ 1111521	90	Призер
№ 1111593	85	Призер
№ 1111599	85	Призер
№ 1111677	90	Призер
№ 1111696	85	Призер
№ 1111702	85	Призер
№ 1111716	85	Призер
№ 1111748	85	Призер
№ 1111837	85	Призер
№ 1111839	85	Призер
№ 1111856	90	Призер
№ 1111915	90	Призер
№ 1112013	80	Призер
№ 1112133	90	Призер
№ 1112143	90	Призер
№ 1112156	90	Призер
№ 1112196	90	Призер
№ 1112211	85	Призер
№ 1112248	80	Призер
№ 1112251	85	Призер
№ 1112271	90	Призер
№ 1112397	90	Призер
№ 1112722	90	Призер
№ 1112735	90	Призер
№ 1112756	90	Призер
№ 1112759	90	Призер
№ 1112760	85	Призер
№ 1112777	85	Призер
№ 1112838	85	Призер
№ 1112862	80	Призер
№ 1112907	90	Призер
№ 1112910	90	Призер
№ 1113012	85	Призер
№ 1113068	90	Призер
№ 1113089	90	Призер
№ 1113109	90	Призер
№ 1113166	85	Призер
№ 1113177	90	Призер
№ 1113245	85	Призер
№ 1113256	90	Призер
№ 1113287	85	Призер
№ 1113337	85	Призер
№ 1113439	80	Призер
№ 1113554	85	Призер
№ 1113598	85	Призер
№ 1113739	85	Призер
№ 1113782	85	Призер
№ 1113803	85	Призер
№ 1113811	85	Призер
№ 1113817	85	Призер
№ 1113845	85	Призер
№ 1113851	85	Призер
№ 1113861	90	Призер
№ 1113943	85	Призер
№ 1114071	85	Призер
№ 1114089	85	Призер
№ 1114093	85	Призер
№ 1114180	90	Призер
№ 1114275	85	Призер
№ 1114311	90	Призер
№ 1114319	80	Призер
№ 1114332	85	Призер
№ 1114392	90	Призер
№ 1114395	85	Призер
№ 1114502	85	Призер
№ 1114520	90	Призер
№ 1114534	85	Призер
№ 1114542	85	Призер
№ 1114544	80	Призер
№ 1114561	85	Призер
№ 1114594	85	Призер
№ 1114600	85	Призер
№ 1114618	85	Призер
№ 1114626	85	Призер
№ 1114631	85	Призер
№ 1114634	85	Призер
№ 1114637	85	Призер
№ 1114638	90	Призер
№ 1114732	85	Призер
№ 1114753	85	Призер
№ 1114760	85	Призер
№ 1114795	85	Призер
№ 1114837	90	Призер
№ 1114839	90	Призер
№ 1114858	80	Призер
№ 1114874	85	Призер
№ 1114901	85	Призер
№ 1114940	85	Призер
№ 1114944	90	Призер
№ 1114945	85	Призер
№ 1114952	85	Призер
№ 1114979	90	Призер
№ 1115035	85	Призер
№ 1115082	85	Призер
№ 1115123	85	Призер
№ 1115137	85	Призер
№ 1115139	85	Призер
№ 1115140	85	Призер
№ 1115144	90	Призер
№ 1115149	85	Призер
№ 1115167	85	Призер
№ 1115183	85	Призер
№ 1115199	90	Призер
№ 1115258	85	Призер
