user_id,Класс,Регион,Задача 1,Задача 2,Задача 3,Задача 4,Задача 5,Сумма,Статус
139,8,Новосибирская,-,-,-,-,-,0
439,8,Хакасия,-,-,-,-,-,0
498,8,Тюменская,-,-,-,-,-,0
501,8,Новосибирская,-,-,-,-,-,0
592,8,Бурятия,-,-,-,-,-,0
778,8,Свердловская,-,-,-,-,-,0
1091,8,Красноярский,-,-,-,-,-,0
1864,8,Новосибирская,-,-,-,-,-,0
2001,8,Кемеровская область - Кузбасс,-,-,-,-,-,0
2233,8,Новосибирская,-,-,-,-,-,0
2300,8,Амурская,-,-,-,-,-,0
2493,8,Новосибирская,-,0,0,-,-,0
2554,8,Бурятия,-,-,-,-,-,0
3550,8,Челябинская,-,-,-,-,-,0
3651,8,Сахалинская,-,-,-,-,-,0
3795,8,Новосибирская,-,-,-,-,-,0
3996,8,Новосибирская,-,-,-,-,-,0
4043,8,Новосибирская,-,-,-,-,-,0
4087,8,Новосибирская,-,-,-,-,-,0
4393,8,Забайкальский,-,-,-,-,-,0
4696,8,Новосибирская,-,-,-,-,-,0
4883,8,Новосибирская,-,-,-,-,-,0
5090,8,Новосибирская,-,-,-,-,-,0
5100,8,Челябинская,-,-,-,-,-,0
5359,8,Томская,-,-,-,-,-,0
5601,8,Республика Казахстан,-,-,-,-,-,0
5929,8,Новосибирская,-,-,-,-,-,0
5941,8,Алтайский,-,-,-,-,-,0
6064,8,Кемеровская область - Кузбасс,-,-,-,-,-,0
6158,8,Новосибирская,-,-,-,-,-,0
6839,8,Кемеровская область - Кузбасс,-,-,-,-,-,0
7075,8,Новосибирская,-,-,-,-,-,0
7603,8,Новосибирская,-,-,-,-,-,0
7704,8,Новосибирская,-,-,-,-,-,0
7711,8,Новосибирская,-,-,-,0,-,0
7869,8,Камчатский,-,-,-,-,-,0
7884,8,Новосибирская,-,-,-,-,-,0
7954,8,Новосибирская,-,-,-,-,-,0
7994,8,Новосибирская,-,-,-,-,-,0
8046,8,Новосибирская,-,-,-,-,-,0
8245,8,Тюменская,-,-,-,-,-,0
8272,8,Новосибирская,-,-,-,-,-,0
8289,8,Новосибирская,-,-,-,-,-,0
8789,8,Новосибирская,-,-,-,-,-,0
9030,8,Новосибирская,-,-,-,-,-,0
9212,8,Алтайский,-,-,-,-,-,0
9453,8,Алтайский,-,-,-,-,-,0
9455,8,Новосибирская,-,-,-,-,-,0
9534,8,Новосибирская,-,-,-,-,-,0
9601,8,Новосибирская,-,-,-,-,-,0
10091,8,Иркутская,-,-,-,-,-,0
10343,8,Саха /Якутия/,-,-,-,-,-,0
10452,8,Томская,-,-,-,-,-,0
10473,8,Новосибирская,-,-,-,-,-,0
10573,8,Саха /Якутия/,-,-,-,-,-,0
11340,8,Новосибирская,-,-,-,-,-,0
11458,8,Омская,-,-,-,-,-,0
11576,8,Бурятия,-,-,-,-,-,0
11591,8,Челябинская,-,-,-,-,-,0
11632,8,Тюменская,-,-,-,-,-,0
12226,8,Новосибирская,-,-,-,-,-,0
12433,8,Алтайский,-,-,-,-,-,0
13134,8,Омская,-,-,-,-,-,0
13694,8,Алтайский,-,-,-,-,-,0
13885,8,Новосибирская,-,-,-,-,-,0
13959,8,Новосибирская,-,-,-,-,-,0
14513,8,Саха /Якутия/,-,-,-,-,-,0
14523,8,Алтайский,-,-,-,-,-,0
14641,8,Новосибирская,-,-,-,-,-,0
